/var/spool/slurm-llnl/slurmd/job2259603/slurm_script: line 20: cd: /home/lgpu0417/deep-learning/assignment_2/part1/: Permission denied
 ------ Job mlp_pytorch is started ------- 
 
Training RNN
[2019-05-04 13:41] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 429.66, Accuracy = 0.11, Loss = 14.912
[2019-05-04 13:41] Train Step 0010/10000, Batch Size = 128, Examples/Sec = 21047.98, Accuracy = 0.11, Loss = 9.506
[2019-05-04 13:41] Train Step 0020/10000, Batch Size = 128, Examples/Sec = 21643.66, Accuracy = 0.23, Loss = 7.235
[2019-05-04 13:41] Train Step 0030/10000, Batch Size = 128, Examples/Sec = 22571.83, Accuracy = 0.27, Loss = 6.677
[2019-05-04 13:41] Train Step 0040/10000, Batch Size = 128, Examples/Sec = 20309.86, Accuracy = 0.19, Loss = 5.883
[2019-05-04 13:41] Train Step 0050/10000, Batch Size = 128, Examples/Sec = 21290.88, Accuracy = 0.27, Loss = 5.525
[2019-05-04 13:41] Train Step 0060/10000, Batch Size = 128, Examples/Sec = 21399.51, Accuracy = 0.23, Loss = 5.431
[2019-05-04 13:41] Train Step 0070/10000, Batch Size = 128, Examples/Sec = 18529.40, Accuracy = 0.21, Loss = 5.634
[2019-05-04 13:41] Train Step 0080/10000, Batch Size = 128, Examples/Sec = 21338.27, Accuracy = 0.33, Loss = 5.613
[2019-05-04 13:41] Train Step 0090/10000, Batch Size = 128, Examples/Sec = 18259.67, Accuracy = 0.27, Loss = 5.530
[2019-05-04 13:41] Train Step 0100/10000, Batch Size = 128, Examples/Sec = 21450.81, Accuracy = 0.18, Loss = 5.678
[2019-05-04 13:41] Train Step 0110/10000, Batch Size = 128, Examples/Sec = 21345.91, Accuracy = 0.27, Loss = 4.880
[2019-05-04 13:41] Train Step 0120/10000, Batch Size = 128, Examples/Sec = 20707.02, Accuracy = 0.28, Loss = 4.823
[2019-05-04 13:41] Train Step 0130/10000, Batch Size = 128, Examples/Sec = 20483.44, Accuracy = 0.28, Loss = 3.935
[2019-05-04 13:41] Train Step 0140/10000, Batch Size = 128, Examples/Sec = 20554.80, Accuracy = 0.34, Loss = 4.093
[2019-05-04 13:41] Train Step 0150/10000, Batch Size = 128, Examples/Sec = 21094.30, Accuracy = 0.27, Loss = 4.185
[2019-05-04 13:41] Train Step 0160/10000, Batch Size = 128, Examples/Sec = 21175.83, Accuracy = 0.29, Loss = 3.727
[2019-05-04 13:41] Train Step 0170/10000, Batch Size = 128, Examples/Sec = 20463.92, Accuracy = 0.33, Loss = 4.082
[2019-05-04 13:41] Train Step 0180/10000, Batch Size = 128, Examples/Sec = 21364.60, Accuracy = 0.27, Loss = 4.133
[2019-05-04 13:41] Train Step 0190/10000, Batch Size = 128, Examples/Sec = 19266.16, Accuracy = 0.35, Loss = 3.120
[2019-05-04 13:41] Train Step 0200/10000, Batch Size = 128, Examples/Sec = 21451.67, Accuracy = 0.35, Loss = 3.266
[2019-05-04 13:41] Train Step 0210/10000, Batch Size = 128, Examples/Sec = 20645.70, Accuracy = 0.36, Loss = 3.336
[2019-05-04 13:41] Train Step 0220/10000, Batch Size = 128, Examples/Sec = 22797.07, Accuracy = 0.30, Loss = 3.519
[2019-05-04 13:41] Train Step 0230/10000, Batch Size = 128, Examples/Sec = 20599.76, Accuracy = 0.35, Loss = 3.204
[2019-05-04 13:41] Train Step 0240/10000, Batch Size = 128, Examples/Sec = 21375.65, Accuracy = 0.30, Loss = 3.019
[2019-05-04 13:41] Train Step 0250/10000, Batch Size = 128, Examples/Sec = 20345.27, Accuracy = 0.31, Loss = 3.243
[2019-05-04 13:41] Train Step 0260/10000, Batch Size = 128, Examples/Sec = 19220.64, Accuracy = 0.43, Loss = 3.070
[2019-05-04 13:41] Train Step 0270/10000, Batch Size = 128, Examples/Sec = 21267.27, Accuracy = 0.38, Loss = 3.146
[2019-05-04 13:41] Train Step 0280/10000, Batch Size = 128, Examples/Sec = 20015.32, Accuracy = 0.40, Loss = 2.889
[2019-05-04 13:41] Train Step 0290/10000, Batch Size = 128, Examples/Sec = 19575.97, Accuracy = 0.35, Loss = 2.847
[2019-05-04 13:41] Train Step 0300/10000, Batch Size = 128, Examples/Sec = 20110.54, Accuracy = 0.34, Loss = 3.157
[2019-05-04 13:41] Train Step 0310/10000, Batch Size = 128, Examples/Sec = 19317.46, Accuracy = 0.35, Loss = 2.817
[2019-05-04 13:41] Train Step 0320/10000, Batch Size = 128, Examples/Sec = 20568.98, Accuracy = 0.45, Loss = 2.622
[2019-05-04 13:41] Train Step 0330/10000, Batch Size = 128, Examples/Sec = 23353.38, Accuracy = 0.40, Loss = 2.726
[2019-05-04 13:41] Train Step 0340/10000, Batch Size = 128, Examples/Sec = 24170.31, Accuracy = 0.41, Loss = 2.694
[2019-05-04 13:41] Train Step 0350/10000, Batch Size = 128, Examples/Sec = 20435.10, Accuracy = 0.39, Loss = 2.718
[2019-05-04 13:41] Train Step 0360/10000, Batch Size = 128, Examples/Sec = 19677.13, Accuracy = 0.34, Loss = 2.518
[2019-05-04 13:41] Train Step 0370/10000, Batch Size = 128, Examples/Sec = 18352.68, Accuracy = 0.38, Loss = 2.271
[2019-05-04 13:41] Train Step 0380/10000, Batch Size = 128, Examples/Sec = 21343.36, Accuracy = 0.32, Loss = 2.593
[2019-05-04 13:41] Train Step 0390/10000, Batch Size = 128, Examples/Sec = 20554.02, Accuracy = 0.33, Loss = 2.499
[2019-05-04 13:41] Train Step 0400/10000, Batch Size = 128, Examples/Sec = 23288.55, Accuracy = 0.37, Loss = 2.370
[2019-05-04 13:41] Train Step 0410/10000, Batch Size = 128, Examples/Sec = 20598.18, Accuracy = 0.39, Loss = 2.558
[2019-05-04 13:41] Train Step 0420/10000, Batch Size = 128, Examples/Sec = 21329.79, Accuracy = 0.38, Loss = 2.362
[2019-05-04 13:41] Train Step 0430/10000, Batch Size = 128, Examples/Sec = 23083.28, Accuracy = 0.45, Loss = 2.286
[2019-05-04 13:41] Train Step 0440/10000, Batch Size = 128, Examples/Sec = 21269.80, Accuracy = 0.37, Loss = 2.489
[2019-05-04 13:41] Train Step 0450/10000, Batch Size = 128, Examples/Sec = 21304.40, Accuracy = 0.46, Loss = 2.134
[2019-05-04 13:41] Train Step 0460/10000, Batch Size = 128, Examples/Sec = 21227.75, Accuracy = 0.40, Loss = 2.347
[2019-05-04 13:41] Train Step 0470/10000, Batch Size = 128, Examples/Sec = 21919.36, Accuracy = 0.41, Loss = 1.946
[2019-05-04 13:41] Train Step 0480/10000, Batch Size = 128, Examples/Sec = 21349.30, Accuracy = 0.38, Loss = 2.257
[2019-05-04 13:41] Train Step 0490/10000, Batch Size = 128, Examples/Sec = 19965.45, Accuracy = 0.47, Loss = 1.906
